Sum of Impacts,Column Labels,,,,,,,,,,,,,,,,
Row Labels,Day 1 Stage 1,Day 1 Stage 2,Day 1 Stage 3,Day 1 Stage 4,Day 1 Stage 5,Day 1 Stage 6,Day 1 Stage 7,Day 1 Stage 8,Day 2 Stage 1,Day 2 Stage 2,Day 2 Stage 3,Day 2 Stage 4,Day 2 Stage 5,Day 2 Stage 6,Day 2 Stage 7,Day 2 Stage 8,Grand Total
Andries Lategan,8,12,8,9,10,9,11,11,9,11,9,10,8,8,12,11,156
Anthony Frazer,7,2,6,0,6,5,8,6,8,8,7,8,10,5,8,9,103
Antonie Roets,9,4,7,9,11,10,12,12,6,12,12,7,11,6,11,11,150
Asharuf Moorad,7,11,11,8,9,9,10,11,8,11,10,8,10,10,7,10,150
Brandon Frazer,7,12,6,6,9,7,6,10,4,11,7,9,11,10,9,7,131
Christiaan Pretorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clive Mey,9,9,10,10,9,7,11,12,8,12,7,7,8,8,8,10,145
Coenie Van Tonder,8,9,2,9,8,5,7,11,7,12,4,7,9,7,5,12,122
Dalton de Bruin,8,10,10,10,11,10,7,11,9,10,6,7,10,12,12,12,155
Deon Retief,6,6,9,9,7,10,10,12,9,12,10,12,11,11,12,12,158
Diana Zoccola,5,8,7,9,12,9,6,7,1,3,9,4,7,10,7,11,115
Donovan Souvaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duane Brummer,2,5,5,2,6,1,8,7,4,2,7,5,4,7,5,8,78
Dumisani Shabangu,11,12,7,5,12,10,10,12,10,11,7,10,10,12,12,11,162
Edward Henwood,0,6,8,11,4,6,10,9,7,12,8,10,6,9,11,10,127
Eghard Van Den Berg,7,8,11,8,9,5,9,9,5,8,3,6,11,11,8,9,127
Erich Van Der Merwe,10,9,11,6,10,6,8,10,9,12,8,11,12,10,8,12,152
Francois De Kock,8,5,5,2,9,3,9,7,7,7,5,2,7,8,9,11,104
Francois Stoltz,4,3,7,10,6,7,8,5,3,3,5,7,8,7,11,11,105
Gerhard Slabbert,12,8,12,9,11,7,11,11,8,10,11,10,11,11,10,12,164
Glen Clark,7,10,9,10,7,7,11,10,11,8,9,7,6,11,7,3,133
Grant Bower,6,6,6,11,8,4,2,6,8,9,9,3,10,10,8,8,114
Hanno van Niekerk,9,6,9,12,7,6,8,12,10,10,9,7,10,11,6,10,142
Heinrich Strauss,7,8,8,9,8,8,6,6,4,4,7,5,9,8,6,11,114
Henk Becker,3,6,7,0,3,2,7,2,3,3,4,6,5,7,5,7,70
Henna du Plessis,9,12,10,8,9,9,9,9,9,11,12,4,6,9,12,10,148
Isabella Souvaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaco Bosman,11,9,9,9,10,11,10,9,7,12,7,7,12,10,8,8,149
Jaco van Tonder,1,7,8,1,6,4,4,9,0,0,0,0,0,0,0,0,40
Jandre Weideman,6,9,9,8,9,9,9,6,7,11,7,7,11,7,10,12,137
Jared Souvaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Marais,10,10,12,11,9,3,10,12,8,12,10,10,10,9,8,12,156
Jeanette Coetzee,8,8,8,10,9,6,10,9,5,10,8,9,9,10,9,10,138
Johannes Grobler,0,1,2,0,3,1,1,1,0,0,0,0,0,0,0,0,9
Justin Coverly,9,9,9,11,11,9,11,9,6,11,9,11,11,12,7,10,155
Kevin Goncalves,8,11,10,11,12,11,9,10,10,10,11,11,12,12,11,12,171
Kim-Leigh Ferreira,9,10,12,9,10,6,9,11,9,11,7,8,11,11,10,12,155
Le Riche Coetzer Snr,7,6,7,11,7,7,8,9,8,7,4,1,10,12,5,12,121
Lian Van der Merwe,5,8,9,6,5,10,11,6,10,5,8,8,9,11,11,12,134
Liné de Witt,6,11,8,10,12,10,11,9,7,10,5,8,9,12,8,12,148
Lodewyk Jansen van vuuren,2,11,10,10,6,10,12,6,6,7,10,8,10,8,8,10,134
Malcolm Coetzee,9,8,12,12,11,8,12,9,7,11,12,9,10,7,10,12,159
Marcel Steyn,11,7,9,8,8,8,10,10,10,10,9,10,7,12,12,11,152
Marjee Badenhorst,7,6,11,11,11,10,11,12,8,10,4,4,7,5,8,12,137
MC van Tonder,9,9,8,11,12,11,10,9,5,12,5,6,10,12,8,11,148
Mey Aliza,8,3,7,7,9,6,11,10,9,11,9,7,10,6,6,8,127
Michelle Janse van Rensburg,7,6,7,5,6,8,10,10,2,10,5,2,8,9,8,8,111
Mico Brummer,7,5,5,3,5,8,10,7,6,5,7,5,8,7,6,11,105
Paul Fick,11,12,10,11,11,10,12,12,10,7,3,7,12,10,12,11,161
Riaan Kunneke,10,11,9,11,11,10,9,9,7,12,10,9,9,12,9,12,160
Russell Ferreira,7,12,10,11,10,10,10,10,11,12,9,9,7,8,8,12,156
Sean Graham,10,12,10,6,12,12,12,8,7,11,7,5,11,10,10,11,154
Stelios Christofi,4,5,8,7,10,6,2,6,6,11,8,9,11,12,8,10,123
Stephen Swart,8,9,7,8,8,9,10,10,9,12,9,8,6,9,9,12,143
Steven van Rensburg,7,3,2,6,3,5,9,5,0,0,0,0,0,0,0,0,40
Tiaan Scheepers,4,5,10,8,7,4,7,7,0,0,0,0,0,0,0,0,52
Trevor Graham,6,11,7,11,8,9,7,9,9,12,11,5,11,10,7,10,143
Wayne Lesch,9,9,8,12,10,6,8,12,7,10,10,12,11,12,9,10,155
Willem Van Biljon,6,10,11,11,8,11,12,8,7,10,4,12,12,11,11,10,154
