Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 1 Defend the Hill,1,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,10,83.33%,-2,83.33%,12/12,0.00,Completed
Stage: 1 Defend the Hill,2,Dehan Lotz,Lotz,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,3,Gerhard Slabbert,Gerhard,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,4,Hugo Coetzee,kleinplasie15,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,5,Jaco Bosman,JacoBos,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,6,Riaan  Kunneke ,Nunuz007,South Africa,Senior,8,66.67%,-4,66.67%,10/12,0.00,Completed
Stage: 1 Defend the Hill,7,Sean Graham,SeanGraham,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
Stage: 1 Defend the Hill,8,Asharuf  Moorad ,Asharuf,South Africa,Open,7,58.33%,-5,58.33%,11/12,0.00,Completed
Stage: 1 Defend the Hill,9,Johan Symington,asymington,South Africa,Junior,7,58.33%,-5,58.33%,11/12,0.00,Completed
Stage: 1 Defend the Hill,10,Kobus Swart,kobusswart31,South Africa,Open,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 1 Defend the Hill,11,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 1 Defend the Hill,12,Marieke Van Rooyen,Marieke,South Africa,Ladies,7,58.33%,-5,58.33%,8/12,0.00,Completed
Stage: 1 Defend the Hill,13,Dumisani Shabangu,Dumisani,South Africa,Open,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,14,Greg  Sykes,Gregs,South Africa,Senior,6,50.00%,-6,50.00%,10/12,0.00,Completed
Stage: 1 Defend the Hill,15,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,16,Kevin Goncalves,Kevo_,South Africa,Factory,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 1 Defend the Hill,17,Andre Symington,JohanSym,South Africa,Senior,5,41.67%,-7,41.67%,8/12,0.00,Completed
Stage: 1 Defend the Hill,18,Glen Clark ,Glen,South Africa,Senior,5,41.67%,-7,41.67%,10/12,0.00,Completed
Stage: 1 Defend the Hill,19,Ignatius Lambert,Skurmonkel,South Africa,Open,5,41.67%,-7,41.67%,10/12,0.00,Completed
Stage: 1 Defend the Hill,20,Pieter le Roux,gokinetix,South Africa,Factory,5,41.67%,-7,41.67%,11/12,0.00,Completed
Stage: 1 Defend the Hill,21,Stelios Christofi,Stel,South Africa,Factory,5,41.67%,-7,41.67%,10/12,0.00,Completed
Stage: 1 Defend the Hill,22,Werner Walkinshaw,WernerWW,South Africa,Open,5,41.67%,-7,41.67%,12/12,0.00,Completed
Stage: 1 Defend the Hill,23,Andre Steenkamp,andre_intouch,South Africa,Senior,4,33.33%,-8,33.33%,10/12,0.00,Completed
Stage: 1 Defend the Hill,24,Angelo van Zyl,AngeloZ,South Africa,Open,4,33.33%,-8,33.33%,12/12,0.00,Completed
Stage: 1 Defend the Hill,25,Liezel Foot,TheFoot,South Africa,Ladies,4,33.33%,-8,33.33%,10/12,0.00,Completed
Stage: 1 Defend the Hill,26,Andries Lategan,Lategan,South Africa,Senior,3,25.00%,-9,25.00%,10/12,0.00,Completed
Stage: 1 Defend the Hill,27,Handre van Niekerk,havn,South Africa,Factory,3,25.00%,-9,25.00%,10/12,0.00,Completed
Stage: 1 Defend the Hill,28,Grant Bower,GeeBee,South Africa,Factory,2,16.67%,-10,16.67%,9/12,0.00,Completed
Stage: 1 Defend the Hill,29,Wynand Brand,Wynand,South Africa,Open,0,0.00%,-12,0.00%,10/12,0.00,Completed
Stage: 2 Duck Hunting,1,Gerhard Slabbert,Gerhard,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
Stage: 2 Duck Hunting,2,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,7,58.33%,-5,58.33%,11/12,0.00,Completed
