name,category,family,bullet_diameter_mm,case_length_mm,is_active,tags
.22 LR,rimfire,,5.7,15.6,true,"Rimfire,PR22"
.22 WMR,rimfire,,5.7,26.8,true,"Rimfire"
.17 HMR,rimfire,,4.4,26.7,true,"Rimfire,Varmint"
.17 WSM,rimfire,,4.4,27.0,true,"Rimfire,Varmint"
6mm GT,rifle,BR,6.0,47.0,true,"PRS,Competition"
6mm Dasher,rifle,BR,6.0,47.0,true,"PRS,Competition"
6mm BRA,rifle,BR,6.0,47.0,true,"PRS,Competition"
6mm BR,rifle,BR,6.0,47.0,true,"PRS,Benchrest"
6mm BRX,rifle,BR,6.0,47.0,true,"PRS,Benchrest"
6mm XC,rifle,BR,6.0,47.0,true,"PRS,Benchrest"
6mm Creedmoor,rifle,Creedmoor,6.0,48.0,true,"PRS,Competition"
22 Creedmoor,rifle,Creedmoor,5.7,48.0,true,"PRS,Competition"
25 Creedmoor,rifle,Creedmoor,6.5,48.0,true,"PRS,Competition"
6.5 Creedmoor,rifle,Creedmoor,6.5,48.0,true,"PRS,Hunting,Competition"
6.5 PRC,rifle,PRC,6.5,51.0,true,"PRS,ELR,Hunting"
6.5x47 Lapua,rifle,Lapua,6.5,47.0,true,"PRS,Competition"
6.5-284 Norma,rifle,Norma,6.5,55.0,true,"PRS,Hunting"
6.5x55 Swedish,rifle,,6.5,55.0,true,"Hunting"
.260 Remington,rifle,Remington,6.7,51.2,true,"PRS,Hunting"
.264 Winchester Magnum,rifle,Magnum,6.7,63.5,true,"Hunting"
7mm SAUM,rifle,SAUM,7.0,51.0,true,"PRS,Hunting"
7mm PRC,rifle,PRC,7.2,51.0,true,"PRS,ELR"
7mm-08 Remington,rifle,,7.0,51.2,true,"Hunting"
7mm Remington Magnum,rifle,Magnum,7.0,64.0,true,"Hunting"
7x57 Mauser,rifle,Mauser,7.0,57.0,true,"Hunting"
.223 Remington,rifle,,5.7,45.0,true,"Service,Hunting"
5.56 NATO,rifle,,5.7,45.0,true,"Service"
.204 Ruger,rifle,,5.2,47.0,true,"Varmint"
.22-250 Remington,rifle,,5.7,48.6,true,"Hunting,Varmint"
.22 Hornet,rifle,,5.7,35.6,true,"Varmint"
.224 Valkyrie,rifle,,5.7,39.0,true,"Varmint"
.243 Winchester,rifle,,6.2,51.9,true,"Hunting"
.25-06 Remington,rifle,,6.5,63.3,true,"Hunting"
.270 Winchester,rifle,,7.0,64.5,true,"Hunting"
.270 WSM,rifle,,7.0,53.3,true,"Hunting"
.280 Remington,rifle,,7.0,64.5,true,"Hunting"
.308 Winchester,rifle,,7.8,51.2,true,"PRS,Service,Hunting"
7.62 NATO,rifle,,7.8,51.2,true,"Service"
.30-06 Springfield,rifle,,7.8,63.3,true,"Hunting,Service"
.30-30 Winchester,rifle,,7.8,51.8,true,"Hunting"
.300 AAC Blackout,rifle,,7.8,35.0,true,"Service,Hunting"
.300 Winchester Magnum,rifle,Magnum,7.8,66.7,true,"Hunting,ELR"
.300 WSM,rifle,,7.8,53.3,true,"Hunting"
.300 PRC,rifle,PRC,7.8,58.0,true,"ELR,PRS"
.300 Norma Magnum,rifle,Norma,7.8,65.0,true,"ELR"
.300 Weatherby Magnum,rifle,Magnum,7.8,73.0,true,"Hunting,ELR"
.300 Remington Ultra Mag,rifle,Magnum,7.8,72.4,true,"Hunting,ELR"
.303 British,rifle,,7.7,56.4,true,"Service,Collector"
8x57 Mauser,rifle,Mauser,8.2,57.0,true,"Hunting"
.338 Lapua Magnum,rifle,Lapua,8.6,70.0,true,"ELR,Military"
.338 Norma Magnum,rifle,Norma,8.6,63.5,true,"ELR"
.338 Winchester Magnum,rifle,Magnum,8.6,63.3,true,"Hunting"
.338 Federal,rifle,,8.6,51.2,true,"Hunting"
.375 H&H Magnum,rifle,Magnum,9.5,72.4,true,"Hunting,Big Game"
.375 CheyTac,rifle,CheyTac,9.5,101.0,true,"ELR"
.375 Ruger,rifle,,9.5,65.0,true,"Hunting,Big Game"
.404 Jeffery,rifle,,10.3,73.0,true,"Hunting,Big Game"
.416 Rigby,rifle,,10.6,74.0,true,"Hunting,Big Game"
.416 Barrett,rifle,Barrett,10.6,99.0,true,"ELR"
.458 Winchester Magnum,rifle,Magnum,11.6,63.3,true,"Hunting,Big Game"
.458 Lott,rifle,,11.6,72.4,true,"Hunting,Big Game"
.470 Nitro Express,rifle,,12.0,83.0,true,"Hunting,Big Game"
.500 Nitro Express,rifle,,12.7,83.0,true,"Hunting,Big Game"
.50 BMG,rifle,,12.7,99.0,true,"ELR,Military"
7.62x39,rifle,,7.9,39.0,true,"Service"
7.62x54R,rifle,,7.9,54.0,true,"Service"
