name,country,is_active
Accuracy International,United Kingdom,true
AHR,United States,true
Anschutz,Germany,true
APA,United States,true
A-Square,United States,true
Barrett,United States,true
Bergara,Spain,true
Bighorn Arms,United States,true
Blaser,Germany,true
Browning,United States,true
Cadex,Canada,true
Christensen Arms,United States,true
Cooper,United States,true
Curtis Custom,United States,true
CZ,Czech Republic,true
Defiance Machine,United States,true
Desert Tech,United States,true
Fierce Firearms,United States,true
FN Herstal,Belgium,true
Foundation Rifles,United States,true
GA Precision,United States,true
Gunwerks,United States,true
Hall,United States,true
Heckler & Koch,Germany,true
Howa,Japan,true
Impact Precision,United States,true
Kelbly's,United States,true
Kimber,United States,true
KRG,United States,true
Lithgow Arms,Australia,true
Lone Peak Arms,United States,true
Manners,New Zealand,true
Marlin,United States,true
Masterpiece Arms,United States,true
Mauser,Germany,true
McMillan,United States,true
Mossberg,United States,true
Musgrave,South Africa,true
Norinco,China,true
Parker Hale,United Kingdom,true
Pierce Engineering,United States,true
Proof Research,United States,true
Remington,United States,true
Rigby,United Kingdom,true
Ruger,United States,true
Sako,Finland,true
Savage,United States,true
Schultz & Larsen,Denmark,true
Seekins Precision,United States,true
Sig Sauer,Germany,true
Steyr,Austria,true
Stiller Precision,United States,true
Stolle,United States,true
Surgeon Rifles,United States,true
Terminus Actions,United States,true
Thompson Center,United States,true
Tikka,Finland,true
Truvelo,South Africa,true
Victrix,Italy,true
Vudoo Gun Works,United States,true
Weatherby,United States,true
Winchester,United States,true
Zastava,Serbia,true
Zermatt Arms,United States,true
