Rank,Competitor,Username,Impacts,Success Rate,Dropped,Score,Division,Stages Completed,Shots Taken
1,Johan Nel,,114,,,100.000%,Open,,
2,Marcel Steyn,,111,,,97.368%,Open,,
3,Donovan Cook,,109,,,95.614%,Open,,
4,Chris Leeson,,106,,,92.982%,Factory,,
5,Le Riche Coetzer Snr,,106,,,92.982%,Senior,,
6,Dennis Van der Merwe,,104,,,91.228%,Open,,
7,Warren Britnell,,102,,,89.474%,Open,,
8,Conner Britnell,,99,,,86.842%,Junior,,
9,Willem Van Biljon,,95,,,83.333%,Limited,,
10,Sean Graham,,94,,,82.456%,Open,,
11,Mohsin Tajbhai,,92,,,80.702%,Limited,,
11,Pieter Neethling,,92,,,80.702%,Open,,
13,JC Robertson,,90,,,78.947%,Limited,,
14,Schalk Van der Merwe,,85,,,74.561%,Open,,
15,Danie du Preez,,81,,,71.053%,Senior,,
16,Edward Henwood,,80,,,70.175%,Limited,,
17,Patrick Capes,,77,,,67.544%,Factory,,
18,AJ Deysel,,75,,,65.789%,Factory,,
18,Gerhard Rorich,,75,,,65.789%,Open,,
18,Trevor Graham,,75,,,65.789%,Senior,,
21,Devan Nell,,71,,,62.281%,Limited,,
22,Franco Cilliers,,62,,,54.386%,Open,,
23,Natasha Britnell,,60,,,52.632%,Ladies,,
24,Clive Mey,,59,,,51.754%,Factory,,
25,Aliza Mey,,57,,,50.000%,Ladies,,
26,Belinda Botha,,38,,,33.333%,Ladies,,
