Rank,Competitor,Username,Impacts,Success Rate,Dropped,Score,Division,Stages Completed,Shots Taken
1,Johan Nel,JohanNel,120,89.55%,-14,100.00%,Open,13 / 13,133 / 134
2,Marcel Steyn,SellyBRA,118,88.06%,-16,98.33%,Open,13 / 13,133 / 134
3,Dirk van Staden,TriggerHappy,114,85.07%,-20,95.00%,Open,13 / 13,132 / 134
4,Leon Goosen,Leon,112,83.58%,-22,93.33%,Open,13 / 13,132 / 134
5,Ruan Zeeman,RuanZman,111,82.84%,-23,92.50%,Open,13 / 13,132 / 134
6,Terblanche de Jager,Terblanche_dJ,110,82.09%,-24,91.67%,Open,13 / 13,134 / 134
7,Russell Ferreira,Russmann,108,80.60%,-26,90.00%,Factory,13 / 13,130 / 134
8,Chris Leeson,ChrisLeeson,107,79.85%,-27,89.17%,Factory,13 / 13,129 / 134
9,Dennis Van der merwe,Dennis,104,77.61%,-30,86.67%,Open,13 / 13,131 / 134
10,Le Riche Coetzer Snr,Uncle_SAPRF,98,73.13%,-36,81.67%,Senior,13 / 13,134 / 134
11,Warren Britnell,Warren_Britnell,98,73.13%,-36,81.67%,Open,13 / 13,132 / 134
12,Hendrik Nel,Hendrik,97,72.39%,-37,80.83%,Open,13 / 13,123 / 134
13,Clive Mey,Clive,95,70.90%,-39,79.17%,Factory,13 / 13,132 / 134
14,Donovan Cook,Donovan,94,70.15%,-40,78.33%,Open,13 / 13,129 / 134
15,Tinus Cronje,Tinus,92,68.66%,-42,76.67%,Open,13 / 13,134 / 134
16,Sean Swarts,seanswarts,92,68.66%,-42,76.67%,Open,13 / 13,122 / 134
17,Andries Lategan,lategan,91,67.91%,-43,75.83%,Senior,13 / 13,133 / 134
18,Hanno van Niekerk,Hanno_Son,91,67.91%,-43,75.83%,Factory,13 / 13,123 / 134
19,Trevor Graham,TrevorG,89,66.42%,-45,74.17%,Senior,13 / 13,133 / 134
20,Etienne de Waal,Etienne,88,65.67%,-46,73.33%,Senior,13 / 13,110 / 134
21,Kim-Leigh Ferreira,KIMDASHLEIGH,87,64.93%,-47,72.50%,Ladies,13 / 13,126 / 134
22,Glen Clark,Glen,87,64.93%,-47,72.50%,Senior,13 / 13,128 / 134
23,Mohsin Tajbhai,mosh338,86,64.18%,-48,71.67%,Limited,13 / 13,133 / 134
24,Pieter Cronje,pc750109,84,62.69%,-50,70.00%,Limited,13 / 13,126 / 134
25,Jc Robertson,JCROB,84,62.69%,-50,70.00%,Limited,13 / 13,129 / 134
26,Pieter Neethling,VENATICS_GEAR,83,61.94%,-51,69.17%,Open,13 / 13,132 / 134
27,Franco Cilliers,FrancoCilliers,83,61.94%,-51,69.17%,Open,13 / 13,123 / 134
28,Sean Graham,SeanGraham,81,60.45%,-53,67.50%,Open,13 / 13,133 / 134
29,Schalk van der Merwe,Schalk,81,60.45%,-53,67.50%,Open,13 / 13,132 / 134
30,Edward Henwood,Edward,79,58.96%,-55,65.83%,Limited,13 / 13,124 / 134
31,ZChris ZDavies,ZChrisDavies,78,58.21%,-56,65.00%,Open,13 / 13,119 / 134
32,Devan Nell,Devan,77,57.46%,-57,64.17%,Limited,13 / 13,129 / 134
33,Henri Klopper,Henna,75,55.97%,-59,62.50%,Open,13 / 13,114 / 134
34,Francois van Wyk,Francois1990,72,53.73%,-62,60.00%,Open,13 / 13,105 / 134
35,Coenie Van Tonder,Car_Guard,70,52.24%,-64,58.33%,Open,13 / 13,112 / 134
36,Mohamed Ayob,Moey,70,52.24%,-64,58.33%,Limited,13 / 13,120 / 134
37,Patrick Capes,PatrickC,68,50.75%,-66,56.67%,Factory,13 / 13,128 / 134
38,Jac Van,JacvZ,66,49.25%,-68,55.00%,Limited,13 / 13,131 / 134
39,Natasha Britnell,Natasha_Britnell,63,47.01%,-71,52.50%,Ladies,13 / 13,94 / 134
40,Aliza Mey,Aliza,63,47.01%,-71,52.50%,Ladies,13 / 13,128 / 134
41,Christiaan Pretorius,Chris55,61,45.52%,-73,50.83%,Factory,13 / 13,124 / 134
42,Monica Le Roux,Monica,61,45.52%,-73,50.83%,Ladies,13 / 13,127 / 134
43,Niel Symington,niel,61,45.52%,-73,50.83%,Open,13 / 13,110 / 134
44,MC van Tonder,Tjoppies,59,44.03%,-75,49.17%,Junior,13 / 13,118 / 134
45,Hanru Jansen,Hanru,56,41.79%,-78,46.67%,Open,13 / 13,119 / 134
46,Danie Du Preez,DanieDP,55,41.04%,-79,45.83%,Senior,13 / 13,131 / 134
47,Kurt Peneder,KurtP,26,19.40%,-108,21.67%,Open,13 / 13,132 / 134
