Rank,Competitor,Username,Impacts,Success Rate,Dropped,Score,Division,Stages Completed,Shots Taken
1,Johan Symington,,89,,,100.000%,Junior,,
1,Gerhard Slabbert,,89,,,100.000%,Open,,
3,Kevin Goncalves,,86,,,96.629%,Open,,
3,Le Riche Coetzer Snr,,86,,,96.629%,Senior,,
3,Riaan Kunneke,,86,,,96.629%,Senior,,
6,Handre van Niekerk,,84,,,94.382%,Factory,,
7,Asharuf Moorad,,83,,,93.258%,Open,,
8,Jeanette Coetzee,,82,,,92.135%,Ladies,,
9,Liezel Foot,,81,,,91.011%,Ladies,,
10,Malcolm Coetzee,,80,,,89.888%,Open,,
11,Greg Sykes,,78,,,87.640%,Senior,,
12,Ignatius Lambert,,75,,,84.270%,Open,,
13,Werner Walkinshaw,,74,,,83.146%,Open,,
14,Barend Nel Jnr,,71,,,79.775%,Junior,,
14,Kobus Swart,,71,,,79.775%,Open,,
14,Angelo Van Zyl,,71,,,79.775%,Open,,
17,Andre Symington,,63,,,70.787%,Senior,,
18,Perry De Jager,,62,,,69.663%,Open,,
19,Jozef Kriek,,59,,,66.292%,Open,,
19,Barend Nel,,59,,,66.292%,Open,,
21,TW Van Zyl,,58,,,65.169%,Factory,,
22,Marieke Van Rooyen,,55,,,61.798%,Ladies,,
23,Johan Van Zyl,,54,,,60.674%,Factory,,
24,Aaron Burstein,,49,,,55.056%,Open,,
25,Eerick Horn,,48,,,53.933%,Open,,
26,Johan Greeff,,47,,,52.809%,Factory,,
27,Ernst Moller,,40,,,44.944%,Open,,
28,Theo Pienaar,,33,,,37.079%,Senior,,
