Rank,Competitor,Username,Impacts,Success Rate,Dropped,Score,Division,Stages Completed,Shots Taken
1,Deon Retief,Retief1,83,86.46%,-13,100.00%,Open,8 / 8,96 / 96
2,Trevor Graham,TrevorG,78,81.25%,-18,93.98%,Seniors,8 / 8,94 / 96
3,Kevin Goncalves,Kevo_,76,79.17%,-20,91.57%,Open,8 / 8,94 / 96
4,Jaco Bosman,JacoBos,74,77.08%,-22,89.16%,Open,8 / 8,95 / 96
5,Antonie Roets,Tiaan_Roets,74,77.08%,-22,89.16%,Open,8 / 8,96 / 96
6,Marjee Badenhorst,MarjeeBadenhorst,72,75.00%,-24,86.75%,Open,8 / 8,96 / 96
7,Jason Marais,Jason_Marais,71,73.96%,-25,85.54%,Open,8 / 8,95 / 96
8,Erich Van Der Merwe,Erich,70,72.92%,-26,84.34%,Juniors,8 / 8,96 / 96
9,Wayne Lesch,ImpactJunkie,69,71.88%,-27,83.13%,Open,8 / 8,96 / 96
10,Michelle Janse van Rensburg,Mich,69,71.88%,-27,83.13%,Ladies,8 / 8,94 / 96
11,Andries Lategan,Lategan,69,71.88%,-27,83.13%,Seniors,8 / 8,96 / 96
12,Stephen Swart,Stephen30,68,70.83%,-28,81.93%,Open,8 / 8,96 / 96
13,Edward Henwood,Edward,67,69.79%,-29,80.72%,Open,8 / 8,92 / 96
14,Sean Graham,SeanGraham,65,67.71%,-31,78.31%,Open,8 / 8,96 / 96
15,Grant Bower,GeeBee,63,65.63%,-33,75.90%,Factory,8 / 8,96 / 96
16,Dumisani Shabangu,Dumisani,63,65.63%,-33,75.90%,Open,8 / 8,92 / 96
17,MC van Tonder,Tjoppies,59,61.46%,-37,71.08%,Juniors,8 / 8,96 / 96
18,Mey Aliza,Aliza,58,60.42%,-38,69.88%,Ladies,8 / 8,86 / 96
19,Justin Coverly,Covs,58,60.42%,-38,69.88%,Factory,8 / 8,94 / 96
20,Paul Fick,KTESQ0,58,60.42%,-38,69.88%,Open,8 / 8,91 / 96
21,Lian Van der Merwe,Lian,56,58.33%,-40,67.47%,Juniors,8 / 8,93 / 96
22,Glen Clark,Glen,56,58.33%,-40,67.47%,Seniors,8 / 8,93 / 96
23,Lodewyk Jansen van vuuren,Lood,56,58.33%,-40,67.47%,Open,8 / 8,91 / 96
24,Francois De Kock,Francois1,55,57.29%,-41,66.27%,Open,8 / 8,89 / 96
25,Brandon Frazer,Brands,55,57.29%,-41,66.27%,Open,8 / 8,95 / 96
26,Coenie Van Tonder,Car_Guard,53,55.21%,-43,63.86%,Open,8 / 8,96 / 96
27,Mico Brummer,Mico,52,54.17%,-44,62.65%,Juniors,8 / 8,96 / 96
28,Clive Mey,Clive,52,54.17%,-44,62.65%,Open,8 / 8,89 / 96
29,Jandre Weideman,Weidies,51,53.13%,-45,61.45%,Open,8 / 8,96 / 96
30,Rassie Jansen van Vuuren,Rassie,51,53.13%,-45,61.45%,Open,8 / 8,96 / 96
31,Liné de Witt,linedewitt4,49,51.04%,-47,59.04%,Ladies,8 / 8,84 / 96
32,Gerrit Botha,thabazimbibore,49,51.04%,-47,59.04%,Open,8 / 8,96 / 96
33,Johann van der Merwe,JohannBean,45,46.88%,-51,54.22%,Open,8 / 8,96 / 96
34,Johann Botha,johannbotha223,43,44.79%,-53,51.81%,Juniors,8 / 8,96 / 96
35,Diana Zoccola,D_iana_Z,42,43.75%,-54,50.60%,Ladies,8 / 8,88 / 96
36,Carla Nel,Carla,40,41.67%,-56,48.19%,Ladies,8 / 8,78 / 96
37,Duane Brummer,Duane,40,41.67%,-56,48.19%,Juniors,8 / 8,94 / 96
38,Hanno van Schoor,HannovS,38,39.58%,-58,45.78%,Open,8 / 8,96 / 96
39,Johann Fourie,Fourie,37,38.54%,-59,44.58%,Open,8 / 8,81 / 96
40,Ruvan Kruger,ruvankruger13,35,36.46%,-61,42.17%,Open,8 / 8,93 / 96
41,Gerhard de Villiers,Diff,30,31.25%,-66,36.14%,Open,8 / 8,95 / 96
42,Schalk Kruger,Schallie,25,26.04%,-71,30.12%,Open,8 / 8,96 / 96
43,Riaan Kunneke,Nunuz007,0,0.00%,-24,0.00%,Seniors,2 / 8,0 / 96
