shooter_name,division,raw_score,placement
"Lodewyk Jansen van vuuren",Open,,
"Chris Leeson",Open,146,1
"Warren Britnell",Open,141,2
"Johan Symington",Junior,134,3
"Russell Ferreira",Factory,130,4
"Henna du Plessis",Open,129,5
"Malcolm Coetzee",Open,128,6
"Andries Lategan",Senior,123,7
"Riaan Kunneke",Senior,119,8
"Tinus Cronje",Junior,118,9
"Glen Clark",Senior,116,10
"Sean Graham",Open,115,11
"Jaco Bosman",Open,112,12
"Le Riche Coetzer Snr",Senior,112,12
"Alwyn van Graan",Factory,110,14
"Kim-Leigh Ferreira",Ladies,108,15
"Deon Retief",Open,108,15
"Jeanette Coetzee",Ladies,107,17
"Stelios Christofi",Factory,104,18
"Dumisani Shabangu",Factory,103,19
"Paul Fick",Open,103,19
"Antonie Roets",Open,103,19
"MC Van Tonder",Junior,96,22
"Clive Mey",Open,96,22
"Conner Britnell",Junior,93,24
"Wayne Lesch",Open,92,25
"Karen Cronje",Junior,90,26
"Brandon Frazer",Open,90,26
"Jandre Weideman",Open,89,28
"Maurice Booyens",Open,88,29
"Marjee Badenhorst",Open,86,30
"Diana Zoccola",Ladies,83,31
"Grant Bower",Factory,82,32
"Coenie Van Tonder",Open,81,33
"Trevor Graham",Senior,78,34
"Francois de Kock",Open,76,35
"Catelynn Britnell",Junior,73,36
"Andre Symington",Senior,70,37
"Edward Henwood",Open,67,38
"Chris Pretorius",Open,67,38
"Natasha Britnell",Ladies,64,40
"Liné de Witt",Ladies,57,41
"Heinrich Strauss",Senior,55,42
"Liska Cronje",Ladies,52,43
"Martin De Klerk",Factory,51,44
"Grant Edmiston",Factory,0,45
"Hanno Van Niekerk",Factory,0,45
"Jared Souvaris",Junior,0,45
"Donovan Souvaris",Open,0,45
