shooter_name,division,raw_score,placement
"Malcolm Coetzee",Open,119,1
"Gerhard Slabbert",Open,114,2
"Sean Graham",Open,112,3
"Le Riche Coetzer Snr",Senior,112,3
"Kevin Goncalves",Factory,110,5
"Jeanette Coetzee",Ladies,105,6
"Johan Symington",Junior,104,7
"Jaco Bosman",Open,102,8
"Asharuf Moorad",Open,102,8
"Kobus Swart",Open,99,10
"Dumisani Shabangu",Open,95,11
"Angelo Van Zyl",Open,95,11
"Riaan Kunneke",Senior,93,13
"Handre van Niekerk",Factory,92,14
"Andries Lategan",Senior,90,15
"Glen Clark",Senior,88,16
"Greg Sykes",Senior,88,16
"Werner Walkinshaw",Open,87,18
"Pieter le Roux",Factory,83,19
"Stelios Christofi",Factory,80,20
"Andre Symington",Senior,80,20
"Grant Bower",Factory,76,22
"Wynand Brand",Open,75,23
"Liezel Foot",Ladies,70,24
"Marieke Van Rooyen",Ladies,69,25
"Andre Steenkamp",Senior,69,25
"Ignatius Lambert",Open,63,27
