shooter_name,division,raw_score,placement
"Kevin Goncalves",Factory,171,1
"Gerhard Slabbert",Open,164,2
"Dumisani Shabangu",Open,162,3
"Paul Fick",Open,161,4
"Riaan Kunneke",Senior,160,5
"Malcolm Coetzee",Open,159,6
"Deon Retief",Open,158,7
"Russell Ferreira",Factory,156,8
"Jason Marais",Open,156,8
"Andries Lategan",Senior,156,8
"Justin Coverly",Factory,155,11
"Kim-Leigh Ferreira",Ladies,155,11
"Wayne Lesch",Open,155,11
"Sean Graham",Open,154,14
"Willem Van Biljon",Open,154,14
"Erich Van der Merwe",Junior,152,16
"Marcel Steyn",Open,152,16
"Asharuf Moorad",Open,150,18
"Antonie Roets",Open,150,18
"Jaco Bosman",Open,149,20
"MC Van Tonder",Junior,148,21
"Liné de Witt",Ladies,148,21
"Henna du Plessis",Open,148,21
"Clive Mey",Open,145,24
"Trevor Graham",Senior,143,25
"Hanno Van Niekerk",Factory,142,26
"Jeanette Coetzee",Ladies,138,27
"Marjee Badenhorst",Open,137,28
"Jandre Weideman",Open,137,28
"Lian Van der Merwe",Junior,134,30
"Lodewyk Jansen van vuuren",Open,134,30
"Glen Clark",Senior,133,32
"Brandon Frazer",Open,131,33
"Edward Henwood",Factory,127,34
"Aliza Mey",Ladies,127,34
"Eghard Van Den Berg",Open,127,34
"Stelios Christofi",Factory,123,37
"Coenie Van Tonder",Open,122,38
"Le Riche Coetzer Snr",Senior,121,39
"Diana Zoccola",Ladies,115,40
"Grant Bower",Factory,114,41
"Heinrich Strauss",Senior,114,41
"Michelle Janse van Rensburg",Ladies,111,43
"Mico Brummer",Junior,105,44
"Francois Stoltz",Open,105,44
"Francois de Kock",Open,104,46
"Duane Brummer",Junior,78,47
"Tiaan Scheepers",Open,52,48
"Jaco van Tonder",Open,40,49
"Stephanus Janse van Rensburg",Senior,40,49
"Chris Pretorius",Open,0,51
"Donovan Souvaris",Open,0,51
"Jared Souvaris",Open,0,51
