shooter_name,division,raw_score,placement
"Werner Walkinshaw",Open,,
"Johan Symington",Junior,80,1
"Malcolm Coetzee",Open,80,1
"Le Riche Coetzer Snr",Senior,77,3
"Kobus Swart",Open,75,4
"Greg Sykes",Senior,72,5
"Jeanette Coetzee",Ladies,70,6
"Barend Nel",Open,69,7
"Andre Symington",Senior,67,8
"Gerhard Slabbert",Open,62,9
"Handre van Niekerk",Factory,61,10
"Liezel Foot",Ladies,59,11
"Marieke Van Rooyen",Ladies,59,11
"Pieter le Roux",Factory,55,13
"Barend Nel Jnr",Junior,54,14
"Angelo Van Zyl",Open,48,15
"Peru Van Staden",Open,47,16
"Jozef Kriek",Factory,46,17
"TW Van Zyl",Factory,46,17
"Andre Steenkamp",Senior,46,17
"Arthur Kemp",Senior,43,20
"Zanel Nel",Ladies,38,21
"James Devine",Open,35,22
