shooter_name,division,raw_score,placement
"Erich Van der Merwe",Junior,,
"Lian Van der Merwe",Junior,,
"Russell Ferreira",Factory,78,1
"Jaco Bosman",Open,78,2
"Marjee Badenhorst",Open,77,3
"Dumisani Shabangu",Factory,76,4
"Kim-Leigh Ferreira",Ladies,74,5
"Warren Britnell",Open,73,6
"Heinrich Strauss",Senior,69,7
"Marcel Steyn",Open,67,8
"Riaan Kunneke",Senior,67,9
"Sean Graham",Open,66,10
"Chris Leeson",Open,65,11
"Liné de Witt",Ladies,62,12
"Glen Clark",Senior,61,13
"Jandre Weideman",Open,60,14
"Diana Zoccola",Ladies,57,15
"Pieter Pieterse",Open,57,15
"Grant Bower",Factory,56,17
"Grant Edmiston",Factory,55,18
"Antonie Roets",Open,53,19
"Natasha Britnell",Ladies,52,20
"Catelynn Britnell",Junior,51,21
"Clive Mey",Open,50,22
"Andries Lategan",Senior,47,23
"Stelios Christofi",Factory,46,24
"Conner Britnell",Junior,46,24
"Brandon Frazer",Open,45,26
"Trevor Graham",Senior,44,27
"Coenie Van Tonder",Open,43,28
"Gerhard Rorich",Open,41,29
"MC Van Tonder",Junior,31,30
"Francois de Kock",Open,31,30
"Chris Pretorius",Open,30,32
"Belinda Botha",Ladies,16,33
