shooter_name,division,raw_score,placement
"Chris Leeson",Open,79,1
"Johan Symington",Junior,78,2
"Warren Britnell",Open,78,2
"Henna du Plessis",Open,76,4
"Russell Ferreira",Factory,72,5
"Glen Clark",Senior,72,5
"Andries Lategan",Senior,71,7
"Malcolm Coetzee",Open,67,8
"Riaan Kunneke",Senior,67,8
"Jaco Bosman",Open,66,10
"Antonie Roets",Open,66,10
"Kim-Leigh Ferreira",Ladies,64,12
"Paul Fick",Open,61,13
"Stelios Christofi",Factory,60,14
"Tinus Cronje",Junior,60,14
"Le Riche Coetzer Snr",Senior,60,14
"Alwyn van Graan",Factory,59,17
"Wayne Lesch",Open,57,18
"Deon Retief",Open,57,18
"Karen Cronje",Junior,56,20
"Clive Mey",Open,56,20
"Dumisani Shabangu",Factory,53,22
"MC Van Tonder",Junior,52,23
"Sean Graham",Open,52,23
"Maurice Booyens",Open,51,25
"Coenie Van Tonder",Open,51,25
"Jandre Weideman",Open,51,25
"Conner Britnell",Junior,50,28
"Jeanette Coetzee",Ladies,50,28
"Francois de Kock",Open,50,28
"Trevor Graham",Senior,50,28
"Grant Bower",Factory,49,32
"Brandon Frazer",Open,46,33
"Diana Zoccola",Ladies,44,34
"Andre Symington",Senior,43,35
"Marjee Badenhorst",Open,41,36
"Natasha Britnell",Ladies,40,37
"Chris Pretorius",Open,39,38
"Catelynn Britnell",Junior,37,39
"Liné de Witt",Ladies,34,40
"Martin De Klerk",Factory,32,41
"Edward Henwood",Open,31,42
"Heinrich Strauss",Senior,28,43
"Liska Cronje",Ladies,25,44
"Grant Edmiston",Factory,0,45
"Hanno Van Niekerk",Factory,0,45
"Jared Souvaris",Junior,0,45
"Donovan Souvaris",Open,0,45
