shooter_name,division,raw_score,placement
"Werner Walkinshaw",Open,,
"Liezel Foot",Ladies,56,1
"Malcolm Coetzee",Open,55,2
"Le Riche Coetzer Snr",Senior,55,2
"Angelo Van Zyl",Open,54,4
"Johan Symington",Junior,52,5
"Greg Sykes",Senior,51,6
"Pieter le Roux",Factory,50,7
"Gerhard Slabbert",Open,50,7
"Kobus Swart",Open,45,9
"Jacobus Johannes Visser",Factory,37,10
"Wynand Brand",Open,35,11
"Handre van Niekerk",Factory,34,12
"Barend Nel",Open,34,12
"Asharuf Moorad",Open,33,14
"Andre Steenkamp",Senior,32,15
"Barend Nel Jnr",Junior,29,16
"Marieke Van Rooyen",Ladies,29,16
"Perry De Jager",Open,27,18
"Christopher Cloete",Open,25,19
"Johan Greeff",Factory,24,20
"Zanel Nel",Ladies,24,20
"Andre Symington",Senior,24,20
"TW Van Zyl",Factory,23,23
"Ignatius Lambert",Open,19,24
"Paul Rainier-Pope",Senior,13,25
"Johan Van Zyl",Open,11,26
