shooter_name,division,raw_score,placement
"Le Riche Coetzer Snr",Senior,66,1
"Sean Graham",Open,64,2
"Malcolm Coetzee",Open,62,3
"Jeanette Coetzee",Ladies,60,4
"Gerhard Slabbert",Open,57,5
"Johan Symington",Junior,55,6
"Asharuf Moorad",Open,55,6
"Kevin Goncalves",Factory,54,8
"Jaco Bosman",Open,54,8
"Riaan Kunneke",Senior,54,8
"Dumisani Shabangu",Open,51,11
"Andries Lategan",Senior,51,11
"Angelo Van Zyl",Open,50,13
"Handre van Niekerk",Factory,48,14
"Kobus Swart",Open,48,14
"Greg Sykes",Senior,48,14
"Werner Walkinshaw",Open,47,17
"Stelios Christofi",Factory,46,18
"Grant Bower",Factory,45,19
"Glen Clark",Senior,42,20
"Andre Symington",Senior,40,21
"Pieter le Roux",Factory,37,22
"Wynand Brand",Open,36,23
"Ignatius Lambert",Open,33,24
"Andre Steenkamp",Senior,33,24
"Liezel Foot",Ladies,32,26
"Marieke Van Rooyen",Ladies,32,26
