shooter_name,division,raw_score,placement
"Michelle Janse van Rensburg",Ladies,,
"Carla Nel",Ladies,,
"Stephen Swart",Open,,
"Kevin Goncalves",Factory,96,1
"Andries Lategan",Senior,85,2
"Glen Clark",Senior,84,3
"Marjee Badenhorst",Open,82,4
"Russell Ferreira",Factory,79,5
"Clive Mey",Open,79,6
"Stelios Christofi",Factory,77,7
"Jandre Weideman",Open,77,8
"Deon Retief",Open,77,9
"Justin Coverly",Open,74,10
"Riaan Kunneke",Senior,74,10
"Kim-Leigh Ferreira",Ladies,74,11
"Jason Marais",Open,73,13
"Jaco Bosman",Open,72,14
"Brandon Frazer",Open,72,14
"MC Van Tonder",Junior,70,16
"Lodewyk Jansen van vuuren",Open,70,16
"Wayne Lesch",Open,69,18
"Dumisani Shabangu",Open,65,19
"Jacques Potgieter",Open,64,20
"Antonie Roets",Open,61,21
"Liné de Witt",Ladies,59,22
"Erich Van der Merwe",Junior,58,23
"Trevor Graham",Senior,57,24
"Lian Van der Merwe",Junior,55,25
"Coenie Van Tonder",Open,53,26
"Grant Bower",Factory,44,27
"Mico Brummer",Junior,40,28
"Chris Pretorius",Open,40,28
"Duane Brummer",Junior,39,30
"Aliza Mey",Ladies,39,30
"Pieter Niemand",Open,36,32
"Louis Raubenheimer",Open,35,33
