shooter_name,division,raw_score,placement
"Russell Ferreira",Factory,79,1
"Kevin Goncalves",Factory,79,1
"Clive Mey",Open,76,3
"Jaco Bosman",Open,75,4
"Antonie Roets",Open,75,5
"Justin Coverly",Open,75,6
"Sean Graham",Open,74,7
"Dumisani Shabangu",Open,74,7
"Brandon Frazer",Open,73,9
"Wayne Lesch",Open,72,10
"Deon Retief",Open,72,10
"Andries Lategan",Senior,72,10
"MC Van Tonder",Junior,71,13
"Glen Clark",Senior,71,13
"Paul Fick",Open,70,15
"Lodewyk Jansen van vuuren",Open,68,16
"Asharuf Moorad",Open,68,16
"Warren Britnell",Open,66,18
"Jason Marais",Open,66,18
"Stelios Christofi",Factory,65,20
"Erich Van der Merwe",Junior,65,20
"Petrus Rasmus Jansen van Vuuren",Open,65,20
"Coenie Van Tonder",Open,64,23
"Jandre Weideman",Open,63,24
"Marcel Steyn",Open,62,25
"Trevor Graham",Senior,62,25
"Heinrich Strauss",Senior,62,25
"Riaan Kunneke",Senior,61,28
"Hanno Van Niekerk",Factory,56,29
"Diana Zoccola",Ladies,56,29
"Edward Henwood",Factory,54,31
"Francois Stoltz",Open,54,31
"Grant Bower",Factory,52,33
"Tiaan Scheepers",Open,52,33
"Michelle Janse van Rensburg",Ladies,50,35
"Aliza Mey",Ladies,48,36
"Francois de Kock",Open,46,37
"Liné de Witt",Ladies,45,38
"Lian Van der Merwe",Junior,44,39
"Duane Brummer",Junior,40,40
"Adrian Janse van Rensburg",Senior,38,41
"Mico Brummer",Junior,37,42
"Stephanus Janse van Rensburg",Senior,36,43
"Natasha Britnell",Ladies,34,44
"Gawie Hugo",Senior,28,45
