shooter_name,division,raw_score,placement
"Paul Fick",Open,99,1
"Russell Ferreira",Factory,91,2
"Sean Graham",Open,89,3
"Dumisani Shabangu",Open,89,3
"Gerhard Slabbert",Open,89,3
"Malcolm Coetzee",Open,88,6
"Marjee Badenhorst",Open,87,7
"Riaan Kunneke",Senior,87,7
"Andries Lategan",Senior,87,7
"Jaco Bosman",Open,85,10
"Jason Marais",Open,85,10
"Clive Mey",Open,85,10
"Justin Coverly",Factory,84,13
"MC Van Tonder",Junior,84,13
"Liné de Witt",Ladies,84,13
"Henna du Plessis",Open,84,13
"Asharuf Moorad",Open,84,13
"Glen Clark",Senior,82,18
"Wayne Lesch",Open,81,19
"Antonie Roets",Open,80,20
"Hanno Van Niekerk",Factory,79,21
"Erich Van der Merwe",Junior,79,21
"Deon Retief",Open,78,23
"Stephen Swart",Open,78,23
"Trevor Graham",Senior,77,25
"Jeanette Coetzee",Ladies,73,26
"Lodewyk Jansen van vuuren",Open,73,26
"Jandre Weideman",Open,72,28
"Eghard Van Den Berg",Open,71,29
"Lian Van der Merwe",Junior,70,30
"Aliza Mey",Ladies,70,30
"Le Riche Coetzer Snr",Senior,70,30
"Brandon Frazer",Open,67,33
"Coenie Van Tonder",Open,66,34
"Diana Zoccola",Ladies,64,35
"Heinrich Strauss",Senior,64,35
"Michelle Janse van Rensburg",Ladies,61,37
"Edward Henwood",Open,61,37
"Grant Bower",Factory,57,39
"Mico Brummer",Junior,56,40
"Stelios Christofi",Factory,54,41
"Francois Stoltz",Open,53,42
"Tiaan Scheepers",Open,52,43
"Duane Brummer",Junior,40,44
"Jaco van Tonder",Open,40,44
"Donovan Souvaris",Open,0,46
"Jared Souvaris",Open,0,46
