shooter_name,division,raw_score,placement
"Deon Retief",Open,83,1
"Trevor Graham",Senior,78,2
"Kevin Goncalves",Open,76,3
"Jaco Bosman",Open,74,4
"Antonie Roets",Open,74,4
"Marjee Badenhorst",Open,72,6
"Jason Marais",Open,71,7
"Erich Van der Merwe",Junior,70,8
"Michelle Janse van Rensburg",Ladies,69,9
"Wayne Lesch",Open,69,9
"Andries Lategan",Senior,69,9
"Stephen Swart",Open,68,12
"Edward Henwood",Open,67,13
"Sean Graham",Open,65,14
"Grant Bower",Factory,63,15
"Dumisani Shabangu",Open,63,15
"MC Van Tonder",Junior,59,17
"Justin Coverly",Factory,58,18
"Aliza Mey",Ladies,58,18
"Paul Fick",Open,58,18
"Lian Van der Merwe",Junior,56,21
"Lodewyk Jansen van vuuren",Open,56,21
"Glen Clark",Senior,56,21
"Francois de Kock",Open,55,24
"Brandon Frazer",Open,55,24
"Coenie Van Tonder",Open,53,26
"Mico Brummer",Junior,52,27
"Clive Mey",Open,52,27
"Petrus Rasmus Jansen van Vuuren",Open,51,29
"Jandre Weideman",Open,51,29
"Liné de Witt",Ladies,49,31
"Johann Van Der Merwe",Open,45,32
"Gerrit Johann Olivier Botha",Junior,43,33
"Diana Zoccola",Ladies,42,34
"Duane Brummer",Junior,40,35
"Carla Nel",Ladies,40,35
"Riaan Kunneke",Senior,0,37
