shooter_name,division,raw_score,placement
"Johan Symington",Junior,89,1
"Gerhard Slabbert",Open,89,1
"Kevin Goncalves",Open,86,3
"Le Riche Coetzer Snr",Senior,86,3
"Riaan Kunneke",Senior,86,3
"Handre van Niekerk",Factory,84,6
"Asharuf Moorad",Open,83,7
"Jeanette Coetzee",Ladies,82,8
"Liezel Foot",Ladies,81,9
"Malcolm Coetzee",Open,80,10
"Greg Sykes",Senior,78,11
"Ignatius Lambert",Open,75,12
"Werner Walkinshaw",Open,74,13
"Barend Nel Jnr",Junior,71,14
"Kobus Swart",Open,71,14
"Angelo Van Zyl",Open,71,14
"Andre Symington",Senior,63,17
"Perry De Jager",Open,62,18
"Jozef Kriek",Open,59,19
"Barend Nel",Open,59,19
"TW Van Zyl",Factory,58,21
"Marieke Van Rooyen",Ladies,55,22
"Johan Van Zyl",Factory,54,23
"Aaron Burstein",Open,49,24
"Eerick Horn",Open,48,25
"Johan Greeff",Factory,47,26
"Ernst Moller",Open,40,27
"Theo Pienaar",Senior,33,28
