shooter_name,division,raw_score,placement
"Russell Ferreira",Factory,98,1
"Johan Nel",Open,96,2
"Terblanche De Jager",Open,90,3
"Donovan Cook",Open,88,4
"Marcel Steyn",Open,86,5
"Dirk Pio",Open,83,6
"Dirk Van Staden",Open,83,6
"Hanno Van Niekerk",Factory,81,8
"Dennis Van der merwe",Open,80,9
"Warren Britnell",Open,79,10
"Schalk van der Merwe",Open,77,11
"Leon Goosen",Open,76,12
"Kim-Leigh Ferreira",Ladies,75,13
"Edward Henwood",Limited,74,14
"Devan Nell",Limited,72,15
"Ruan Zeeman",Open,71,16
"Danie du Preez",Senior,71,16
"Chris Leeson",Factory,69,18
"Le Riche Coetzer Snr",Senior,67,19
"Andries Lategan",Senior,67,19
"Conner Britnell",Junior,66,21
"Pieter Cronje",Limited,66,21
"AJ Deysel",Factory,65,23
"Jc Robertson",Limited,63,24
"Clive Mey",Open,62,25
"Trevor Graham",Senior,60,26
"Willem Van Biljon",Limited,57,27
"Gerhard Rorich",Open,57,27
"Jandre Badenhorst",Open,55,29
"Henri Klopper",Open,54,30
"Coenie Van Tonder",Open,54,30
"Mohsin Tajbhai",Limited,53,32
"Patrick Capes",Factory,51,33
"Franco Cilliers",Open,51,33
"Etienne De Waal",Senior,50,35
"MC Van Tonder",Junior,49,36
"Natasha Britnell",Ladies,49,36
"Chris Pretorius",Open,49,36
"Sean Swarts",Open,44,39
"Monica Le Roux",Ladies,40,40
"Niel Symington",Open,39,41
"Stephan van der Merwe",Open,37,42
"Glen Clark",Senior,37,42
"Sean Graham",Open,36,44
"Hendrik van zyl",Limited,30,45
"Francois Van wyk",Open,29,46
"Aliza Mey",Ladies,28,47
"Konrad Grabe",Senior,28,47
"Kurt Peneder",Open,25,49
"Belinda Botha",Ladies,22,50
