shooter_name,division,raw_score,placement
"Johan Nel",Open,114,1
"Donovan Cook",Open,99,2
"Leon Goosen",Open,98,3
"Ruan Zeeman",Open,91,4
"Pieter Neethling",Open,90,5
"Chris Leeson",Factory,87,6
"Etienne De Waal",Senior,83,7
"Russell Ferreira",Factory,82,8
"Willem Van Biljon",Limited,81,9
"AJ Deysel",Factory,79,10
"Le Riche Coetzer Snr",Senior,78,11
"Hanno Van Niekerk",Factory,77,12
"Jc Robertson",Limited,74,13
"Dennis Van der merwe",Open,74,13
"Terblanche De Jager",Open,72,15
"Hendrik Nel",Open,72,15
"Warren Britnell",Open,71,17
"Schalk van der Merwe",Open,69,18
"Conner Britnell",Junior,68,19
"Devan Nell",Limited,68,19
"Jandre Badenhorst",Open,63,21
"Kim-Leigh Ferreira",Ladies,61,22
"Dirk Pio",Open,60,23
"Schalk Jacobs",Open,57,24
"Pieter Cronje",Limited,56,25
"Edward Henwood",Limited,53,26
"Trevor Graham",Senior,53,26
"Danie du Preez",Senior,51,28
"Sean Graham",Open,50,29
"Natasha Britnell",Ladies,49,30
"Franco Cilliers",Open,49,30
"Stefan Kruger",Open,47,32
"Chris Pretorius",Open,46,33
"Niel Symington",Open,44,34
"Henri Klopper",Open,42,35
"Aliza Mey",Ladies,40,36
"Sean Swarts",Open,36,37
"Jac van Zyl",Limited,33,38
"Kurt Peneder",Open,32,39
"Francois Lombaard",Open,25,40
"Gabriel Van Blerk",Junior,22,41
"Pieter Niemand",Limited,21,42
"Francois Van wyk",Open,21,42
"Stephan van der Merwe",Open,19,44
"Vernon Edwin Harms",Open,10,45
