shooter_name,division,raw_score,placement
"Dirk Van Staden",Open,112,1
"Johan Nel",Open,110,2
"Chris Leeson",Factory,99,3
"Leon Goosen",Open,95,4
"Schalk van der Merwe",Open,94,5
"Russell Ferreira",Factory,90,6
"Mohsin Tajbhai",Limited,89,7
"Warren Britnell",Open,89,7
"Terblanche De Jager",Open,88,9
"Pieter Neethling",Open,82,10
"Patrick Capes",Factory,78,11
"Dennis Van der merwe",Open,77,12
"Le Riche Coetzer Snr",Senior,77,12
"Hendrik Nel",Open,76,14
"Hanno Van Niekerk",Factory,74,15
"Schalk Jacobs",Open,73,16
"AJ Deysel",Factory,69,17
"Kim-Leigh Ferreira",Ladies,68,18
"Sean Graham",Open,66,19
"Sean Swarts",Open,59,20
"Trevor Graham",Senior,57,21
"Danie du Preez",Senior,56,22
"Tony Van Heerden",Open,52,23
"Bosman Le Roux",Limited,51,24
"Reinard Stapelberg",Open,46,25
"Monica Le Roux",Ladies,34,26
"Diederick Koekemoer",Open,34,26
"Nicholas Harlow",Open,33,28
"TW Van Zyl",Open,28,29
"Natasha Britnell",Ladies,0,30
"Dirk Pio",Open,0,30
"Etienne De Waal",Senior,0,30
