shooter_name,division,raw_score,placement
"Johan Nel",Open,119,1
"Leon Goosen",Open,111,2
"Warren Britnell",Open,110,3
"Tinus Cronje",Open,109,4
"Schalk van der Merwe",Open,109,4
"Terblanche De Jager",Open,107,6
"Dennis Van der merwe",Open,105,7
"Marcel Steyn",Open,104,8
"Ruan Zeeman",Open,103,9
"Pieter Cronje",Limited,99,10
"Donovan Cook",Open,96,11
"Jc Robertson",Limited,95,12
"Le Riche Coetzer Snr",Senior,95,12
"Willem Van Biljon",Limited,92,14
"Russell Ferreira",Factory,91,15
"Chris Leeson",Factory,88,16
"Pieter Neethling",Open,87,17
"Devan Nell",Limited,86,18
"Mohsin Tajbhai",Limited,86,18
"Trevor Graham",Senior,84,20
"Glen Clark",Senior,83,21
"Edward Henwood",Open,79,22
"Hendrik Nel",Open,79,22
"Andries Lategan",Senior,75,24
"Patrick Capes",Factory,73,25
"Hanno Van Niekerk",Factory,73,25
"Danie du Preez",Senior,72,27
"Aliza Mey",Ladies,68,28
"Francois Lombaard",Open,66,29
"Conner Britnell",Junior,62,30
"Sean Swarts",Open,62,30
"Chris Pretorius",Open,61,32
"Gerhard Rorich",Open,60,33
"Natasha Britnell",Ladies,58,34
"Kim-Leigh Ferreira",Ladies,58,34
"Monica Le Roux",Ladies,56,36
"Tony Van Heerden",Open,56,36
"Niel Symington",Open,50,38
"Etienne De Waal",Senior,50,38
"Dirk Van Staden",Open,49,40
"Francois Van wyk",Open,49,40
"Belinda Botha",Ladies,33,42
