shooter_name,division,raw_score,placement
"Johan Nel",Open,114,1
"Marcel Steyn",Open,111,2
"Donovan Cook",Open,109,3
"Chris Leeson",Factory,106,4
"Le Riche Coetzer Snr",Senior,106,5
"Dennis Van der merwe",Open,104,6
"Warren Britnell",Open,102,7
"Conner Britnell",Junior,99,8
"Willem Van Biljon",Limited,95,9
"Sean Graham",Open,94,10
"Mohsin Tajbhai",Limited,92,11
"Pieter Neethling",Open,92,11
"Jc Robertson",Limited,90,13
"Schalk van der Merwe",Open,85,14
"Danie du Preez",Senior,81,15
"Edward Henwood",Limited,80,16
"Patrick Capes",Factory,77,17
"AJ Deysel",Factory,75,18
"Gerhard Rorich",Open,75,18
"Trevor Graham",Senior,75,18
"Devan Nell",Limited,71,21
"Franco Cilliers",Open,62,22
"Natasha Britnell",Ladies,60,23
"Clive Mey",Factory,59,24
"Aliza Mey",Ladies,57,25
"Belinda Botha",Ladies,38,26
