shooter_name,division,raw_score,placement
"Johan Nel",Open,120,1
"Marcel Steyn",Open,118,2
"Dirk Van Staden",Open,114,3
"Leon Goosen",Open,112,4
"Ruan Zeeman",Open,111,5
"Terblanche De Jager",Open,110,6
"Russell Ferreira",Factory,108,7
"Chris Leeson",Factory,107,8
"Dennis Van der merwe",Open,104,9
"Warren Britnell",Open,98,10
"Le Riche Coetzer Snr",Senior,98,10
"Hendrik Nel",Open,97,12
"Clive Mey",Factory,95,13
"Donovan Cook",Open,94,14
"Tinus Cronje",Open,92,15
"Sean Graham",Open,92,15
"Sean Swarts",Open,92,15
"Hanno Van Niekerk",Factory,91,18
"Andries Lategan",Senior,91,18
"Trevor Graham",Senior,89,20
"Etienne De Waal",Senior,88,21
"Kim-Leigh Ferreira",Ladies,87,22
"Glen Clark",Senior,87,22
"Mohsin Tajbhai",Limited,86,24
"Pieter Cronje",Limited,84,25
"Jc Robertson",Limited,84,25
"Franco Cilliers",Open,83,27
"Pieter Neethling",Open,83,27
"Schalk van der Merwe",Open,81,29
"Edward Henwood",Limited,79,30
"Devan Nell",Limited,77,31
"Henri Klopper",Open,75,32
"Francois Van wyk",Open,72,33
"Niel Symington",Open,70,34
"Coenie Van Tonder",Open,70,34
"Patrick Capes",Factory,68,36
"Jac van Zyl",Limited,66,37
"Natasha Britnell",Ladies,63,38
"Aliza Mey",Ladies,63,38
"Monica Le Roux",Ladies,61,40
"MC Van Tonder",Junior,59,41
"Danie du Preez",Senior,55,42
"Kurt Peneder",Open,26,43
"Conner Britnell",Junior,0,44
"Tony Van Heerden",Open,0,44
