shooter_name,division,raw_score,placement
"Donovan Cook",Open,57,1
"Brandon Frazer",Open,55,2
"Russell Ferreira",Factory,54,3
"Johan Nel",Open,54,4
"Dennis Van der merwe",Open,53,5
"Hanno Van Niekerk",Factory,51,6
"Marcel Steyn",Open,50,7
"Clive Mey",Open,49,8
"Willem Van Biljon",Open,47,9
"Jc Robertson",Limited,47,10
"Kim-Leigh Ferreira",Ladies,46,11
"Warren Britnell",Open,46,11
"Etienne De Waal",Senior,46,11
"Chris Leeson",Factory,45,14
"Stefan Kruger",Open,45,14
"Edward Henwood",Limited,43,16
"Devan Nell",Limited,43,16
"Ruan Du Plessis",Open,43,16
"Dirk Pio",Open,41,19
"Hendrik Nel",Open,39,20
"Kurt Peneder",Open,39,20
"Coenie Van Tonder",Open,39,20
"Sean Swarts",Open,38,23
"Chris Pretorius",Open,37,24
"Trevor Graham",Senior,36,25
"Aliza Mey",Ladies,34,26
"Danie du Preez",Senior,30,27
"Cornelis van As",Senior,29,28
"Schalk van der Merwe",Open,28,29
"Natasha Britnell",Ladies,26,30
"Mohamed Ayob",Limited,25,31
"Jandre Weideman",Limited,23,32
"Francois Van wyk",Open,21,33
"Gabriel Van Blerk",Limited,20,34
"Gert Van Der Walt",Limited,20,34
"Liné de Witt",Ladies,19,36
"Vernon Edwin Harms",Open,19,36
"Stephan van der Merwe",Open,16,38
"Leon Goosen",Open,0,39
