shooter_name,division,raw_score,placement
"Russell Ferreira",Factory,49,1
"Johan Nel",Open,49,1
"Terblanche De Jager",Open,43,3
"Dirk Van Staden",Open,43,3
"Donovan Cook",Open,42,5
"Leon Goosen",Open,41,6
"Dirk Pio",Open,41,6
"Schalk van der Merwe",Open,41,6
"Edward Henwood",Limited,40,9
"Dennis Van der merwe",Open,40,9
"Hanno Van Niekerk",Factory,39,11
"Clive Mey",Open,38,12
"Trevor Graham",Senior,38,12
"Marcel Steyn",Open,37,14
"Danie du Preez",Senior,37,14
"Kim-Leigh Ferreira",Ladies,36,16
"Andries Lategan",Senior,36,16
"Conner Britnell",Junior,34,18
"Le Riche Coetzer Snr",Senior,34,18
"Chris Leeson",Factory,33,20
"Pieter Cronje",Limited,33,20
"Ruan Zeeman",Open,33,20
"Devan Nell",Limited,32,23
"Warren Britnell",Open,32,23
"AJ Deysel",Factory,31,25
"Henri Klopper",Open,31,25
"Hendrik van zyl",Limited,30,27
"Chris Pretorius",Open,30,27
"Gerhard Rorich",Open,28,29
"MC Van Tonder",Junior,27,30
"Jc Robertson",Limited,27,30
"Willem Van Biljon",Limited,27,30
"Jandre Badenhorst",Open,25,33
"Franco Cilliers",Open,25,33
"Mohsin Tajbhai",Limited,24,35
"Natasha Britnell",Ladies,21,36
"Sean Swarts",Open,20,37
"Coenie Van Tonder",Open,20,37
"Glen Clark",Senior,19,39
"Etienne De Waal",Senior,18,40
"Patrick Capes",Factory,17,41
"Monica Le Roux",Ladies,16,42
"Sean Graham",Open,16,42
"Aliza Mey",Ladies,14,44
"Konrad Grabe",Senior,14,44
"Niel Symington",Open,13,46
"Belinda Botha",Ladies,12,47
"Kurt Peneder",Open,12,47
"Stephan van der Merwe",Open,12,47
"Francois Van wyk",Open,12,47
