shooter_name,division,raw_score,placement
"Werner Walkinshaw",Limited,,
"Janalt Damstra",Open,,
"Gerhard Hanekom",Open,,
"Nicholas Harlow",Open,,
"Deon Jordaan",Senior,,
"Ruan Zeeman",Open,47,1
"Mohsin Tajbhai",Limited,42,2
"Le Riche Coetzer Snr",Senior,42,2
"Patrick Capes",Factory,37,4
"Schalk Jacobs",Open,37,4
"Jozef Kriek",Limited,32,6
"Reinard Stapelberg",Open,31,7
"Tony Van Heerden",Open,30,8
"Monica Le Roux",Ladies,24,9
"Handre van Niekerk",Factory,21,10
"Bosman Le Roux",Limited,20,11
"Daniel G",Junior,17,12
"Walter Capes",Senior,13,15
