shooter_name,division,raw_score,placement
"Donovan Cook",Open,52,1
"Johan Nel",Open,50,2
"Kim-Leigh Ferreira",Ladies,49,3
"Marcel Steyn",Open,48,4
"Russell Ferreira",Factory,44,5
"Hendrik Nel",Open,42,6
"Chris Leeson",Factory,40,7
"Schalk van der Merwe",Open,40,7
"Dirk Pio",Open,38,9
"Chris Pretorius",Open,38,9
"Jandre Weideman",Limited,36,11
"Clive Mey",Factory,35,12
"Franco Cilliers",Open,35,12
"Francois Van wyk",Open,32,14
"Sean Graham",Open,31,15
"Trevor Graham",Senior,30,16
"Andries Lategan",Senior,30,16
"Henri Klopper",Open,29,18
"Stephan van der Merwe",Open,29,18
"Aliza Mey",Ladies,27,20
"Sean Swarts",Open,24,21
"Danie du Preez",Senior,23,22
"Ruan Du Plessis",Open,20,23
"Pieter Niemand",Limited,16,24
"Francois de Kock",Open,8,25
"Natasha Britnell",Ladies,0,26
"Warren Britnell",Open,0,26
