shooter_name,division,raw_score,placement
"Johan Nel",Open,68,1
"Terblanche De Jager",Open,63,2
"Warren Britnell",Open,61,3
"Jc Robertson",Limited,60,4
"Leon Goosen",Open,59,5
"Tinus Cronje",Open,57,6
"Schalk van der Merwe",Open,57,6
"Dennis Van der merwe",Open,55,8
"Ruan Zeeman",Open,55,8
"Marcel Steyn",Open,54,10
"Russell Ferreira",Factory,52,11
"Donovan Cook",Open,52,11
"Le Riche Coetzer Snr",Senior,52,11
"Willem Van Biljon",Limited,51,14
"Mohsin Tajbhai",Limited,50,15
"Trevor Graham",Senior,49,16
"Pieter Cronje",Limited,48,17
"Pieter Neethling",Open,48,17
"Hendrik Nel",Open,47,19
"Edward Henwood",Open,45,20
"Patrick Capes",Factory,43,21
"Devan Nell",Limited,43,21
"Dirk Van Staden",Open,43,21
"Chris Pretorius",Open,42,24
"Glen Clark",Senior,42,24
"Hanno Van Niekerk",Factory,41,26
"Aliza Mey",Ladies,41,26
"Danie du Preez",Senior,40,28
"Chris Leeson",Factory,38,29
"Andries Lategan",Senior,38,29
"Conner Britnell",Junior,37,31
"Francois Lombaard",Open,36,32
"Gerhard Rorich",Open,36,32
"Monica Le Roux",Ladies,35,34
"Sean Swarts",Open,34,35
"Niel Symington",Open,33,36
"Natasha Britnell",Ladies,27,37
"Tony Van Heerden",Open,27,37
"Francois Van wyk",Open,27,37
"Martin De Klerk",Open,26,40
"Kim-Leigh Ferreira",Ladies,24,41
"Etienne De Waal",Senior,23,42
"Belinda Botha",Ladies,18,43
