shooter_name,division,raw_score,placement
"Johan Nel",Open,66,1
"Leon Goosen",Open,63,2
"Terblanche De Jager",Open,62,3
"Marcel Steyn",Open,61,4
"Dirk Van Staden",Open,61,4
"Russell Ferreira",Factory,60,6
"Ruan Zeeman",Open,58,7
"Chris Leeson",Factory,56,8
"Hendrik Nel",Open,53,9
"Andries Lategan",Senior,53,9
"Warren Britnell",Open,52,11
"Dennis Van der merwe",Open,52,11
"Clive Mey",Factory,49,13
"Hanno Van Niekerk",Factory,49,13
"Glen Clark",Senior,49,13
"Etienne De Waal",Senior,49,13
"Donovan Cook",Open,47,17
"Sean Swarts",Open,47,17
"Le Riche Coetzer Snr",Senior,47,17
"Trevor Graham",Senior,46,20
"Kim-Leigh Ferreira",Ladies,45,21
"Pieter Cronje",Limited,44,22
"Mohsin Tajbhai",Limited,43,23
"Tinus Cronje",Open,43,23
"Henri Klopper",Open,40,25
"Devan Nell",Limited,39,26
"Jc Robertson",Limited,39,26
"Edward Henwood",Limited,37,28
"Francois Van wyk",Open,36,29
"Danie du Preez",Senior,35,30
"Coenie Van Tonder",Open,33,31
"MC Van Tonder",Junior,32,32
"Schalk van der Merwe",Open,32,32
"Natasha Britnell",Ladies,31,34
"Patrick Capes",Factory,30,35
"Chris Pretorius",Factory,30,35
"Jac van Zyl",Limited,30,35
"Aliza Mey",Ladies,28,38
"Monica Le Roux",Ladies,26,39
"Niel Symington",Open,25,40
"Kurt Peneder",Open,6,41
